ID,Category,Requirement,Bundle reference,Current repository evidence,Verdict,Severity,Required remediation
H007,Live autonomy & operations,A waiting external item does not stall product work.,Lane isolation,Static scheduler supports it; live controller proof absent.,NOT_PROVEN,HIGH,Create concurrent lane fixture and live no-network canary.
H008,Live autonomy & operations,Milestone advances automatically after evidence gates.,Zero-intervention goal,No runtime milestone advancement path found.,DEFECT,CRITICAL,Implement and canary M1→M2 in a disposable roadmap.
H009,Live autonomy & operations,"Status shows authoritative milestone, lane, retry budget, blockers, candidate, CI, and release.",CODEX prompt:987-1000,Status surfaces exist but read from inconsistent/static paths.,PARTIAL,HIGH,Unify runtime state and add stale/mismatch tests.
H010,Live autonomy & operations,Portable Windows/WSL startup has no hardcoded personal paths.,CODEX prompt:970-985,Startup controls were modified; full live portability proof was not available.,PARTIAL,MEDIUM,Run install/start/status/stop in a fresh user/path and WSL distribution.
H011,Live autonomy & operations,No credentials/private gate/customer data enter model subprocesses or Git.,Security doctrine,Secret scrubbing/path/private evidence controls and security CI pass.,PROVEN,INFO,Add redaction tests for new market/current-source adapters.
H012,Live autonomy & operations,No force push; divergence is fail closed.,GitHub safety,GitHub sync retains no-force/divergence logic.,PROVEN,INFO,Enforce branch rules server-side as well.
H013,Live autonomy & operations,Automatic publication is idempotent across crash/restart.,Release transaction schema,Transaction schema exists; live GitHub crash-boundary proof absent.,NOT_PROVEN,HIGH,"Test crash before push, after push, during checks, before merge, after merge, and during rollback."
H014,Live autonomy & operations,Supervisor preflight reads V3 queue/checkpoint/runtime locations.,Startup requirement,Some supervisor checks still reference legacy paths and may miss external runtime-root state.,DEFECT,HIGH,Route preflight through the same V3 PathConfig and enumerate active leases/checkpoints.
H015,Live autonomy & operations,Controller cannot operate when source integrity or machine authority is missing.,Fail-closed doctrine,"Source integrity is checked, but machine authority is not integrated and enabled=false may not block start.",DEFECT,CRITICAL,Make both mandatory before claim/merge; refuse any publication without signed activation/policy receipt.
H016,Live autonomy & operations,"Runtime events distinguish simulation, controlled validation, live validation, and external validation.",Maturity/truth doctrine,Migration evidence uses simulations while roadmap marks broad completion.,DEFECT,HIGH,Add evidence_class enum and prevent lower classes from satisfying higher gates.
I001,Product implementation,Product code is separate from tcfactory.,CODEX prompt:1062-1082,Four product packages exist separately.,PROVEN,INFO,Keep dependency direction one-way; product must not import factory enums.
I002,Product implementation,Strict versioned product models exist.,CODEX prompt:1084-1096,Core models exist and product CI passes.,PROVEN,INFO,Add forward/backward schema compatibility policy.
I003,Product implementation,Canonical JSON/SHA identity is deterministic.,CODEX prompt:1098-1112,Implementation and tests exist.,PROVEN,INFO,Add a genuinely independent verifier implementation and external golden vectors.
I004,Product implementation,Content-addressed local evidence store rejects path traversal/tamper.,CODEX Phase J,CAS/evidence tests exist.,PROVEN,INFO,Add large-file/resource-limit and symlink race tests if absent.
I005,Product implementation,Flight Recorder/native importer handles malformed/untrusted input.,M1 product vertical,Importer and malformed-input tests exist.,PROVEN,INFO,Add version matrix and archive-bomb/resource limits.
I006,Product implementation,Preflight emits evidence completeness and eligibility with explicit truth.,M1 vertical,CLI/product contract tests pass.,PROVEN,INFO,Keep schema version and user-visible limitation tests.
I007,Product implementation,Install-to-first-value is reproducible.,Product proof,Packaging/install workflow passes.,PROVEN,INFO,Run periodically on multiple supported Linux environments.
I008,Product implementation,Baseline-versus-candidate execution is not falsely claimed.,V3 bounded scope,README says not implemented.,DEFERRED_BY_SCOPE,INFO,No action until milestone selects it.
I009,Product implementation,Minimum Faithful Experiment/reduction is not falsely claimed.,V3 bounded scope,README says not implemented.,DEFERRED_BY_SCOPE,INFO,No action until real case and independent oracle.
I010,Product implementation,Recovery Assurance is not falsely claimed.,V3 bounded scope,README says not implemented.,DEFERRED_BY_SCOPE,INFO,No action until selected milestone.
I011,Product implementation,Commercial incident pack is not marked supported from fixtures.,Commercial maturity,No commercial pack claim; external receipts absent.,PROVEN,INFO,Keep external gate.
I012,Product implementation,Real GPU behavior is exact-SHA and environment-bound.,Trust lane,No current GPU run.,NOT_PROVEN,MEDIUM,"Add environment digest, runner identity, raw logs, and signed receipt when run."
I013,Product implementation,Native tool differential changes an operational decision.,Native advantage gate,No real native differential evidence.,EXTERNAL_WAIT,HIGH,Collect two real/credible cases before promotion.
I014,Product implementation,Operator independence is externally demonstrated.,Commercial proof gate,No external operator receipt.,EXTERNAL_WAIT,INFO,Preserve as external milestone.
I015,Product implementation,Second paid action/recurring use is externally demonstrated.,Commercial proof gate,No payment/repeat receipt.,EXTERNAL_WAIT,INFO,Preserve as external milestone.
J001,Research & market lanes,Reachable-account map is generated from attributable sources.,M1 V3-MKT-001,"Task exists, but controller path/network/context prevent execution.",DEFECT,HIGH,Fix lane execution; use public/company/contact sources and label uncertainty.
J002,Research & market lanes,Interview guide and pilot qualification artifacts are created.,M1 market lane,"Some docs may exist, but required output contracts are absent.",NOT_PROVEN,MEDIUM,Declare and generate versioned artifacts with evidence/source boundaries.
J003,Research & market lanes,15 detailed operator conversations are attributable external facts.,M1 exit criteria,WAITING_EXTERNAL and not fabricated.,EXTERNAL_WAIT,INFO,No autonomous substitute; ingest signed/attributable notes when they occur.
J004,Research & market lanes,Five real incident timelines are attributable.,M1 exit criteria,WAITING_EXTERNAL.,EXTERNAL_WAIT,INFO,No autonomous substitute.
J005,Research & market lanes,Three organizations have upcoming changes.,M1 exit criteria,WAITING_EXTERNAL.,EXTERNAL_WAIT,INFO,No autonomous substitute.
J006,Research & market lanes,Two credible pilot candidates exist.,M1 exit criteria,WAITING_EXTERNAL.,EXTERNAL_WAIT,INFO,No autonomous substitute.
J007,Research & market lanes,One real native trace/archive is available.,M1 exit criteria,WAITING_EXTERNAL.,EXTERNAL_WAIT,INFO,"No autonomous substitute; accept public attributable traces where rights allow, but do not call them customer proof."
J008,Research & market lanes,Competitor/source register is current and freshness-bound.,13_SOURCE_REGISTER_V3.md,"Current-fact index exists, but retrieval/freshness receipts are not wired.",PARTIAL,HIGH,Enable allowlisted adapters and scheduled source-monitor work items.
J009,Research & market lanes,Teyon/Harbor/TrainCheck/TrainVerify/TTrace/Clockwork are tracked.,Previous chat and V3 source register,V3 source register includes expanded threats; live periodic refresh unproven.,PARTIAL,MEDIUM,Add source-specific checks and last-verified timestamps.
J010,Research & market lanes,TrainCheck differential is explicitly tested against incident-derived contracts.,Competitive thesis,No integrated benchmark exists.,NOT_PROVEN,HIGH,Create a controlled healthy-invariant versus incident-derived qualification comparison.
J011,Research & market lanes,"Trust lane independently attacks false green, identity, evidence, and release.",M1 trust lane,"Security/product CI exists, but machine policy is circular and live trust lane execution is not proven.",PARTIAL,CRITICAL,Use off-repo hidden verifier and real adversarial canaries.
J012,Research & market lanes,Research process distinguishes CLEAR/CONFLICT/UNKNOWN and preserves raw controls.,Existing research policy retained,"Legacy research policy is strong, but V3 controller generic report/network/path logic bypasses it.",DEFECT,HIGH,Integrate V3 research tasks with preregistered query/evidence manifest policy.
